VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,prefix
VFID0000,185.86877249999998,74.9522485,1418.8,23.82984733581543,True,NGC4363,40233,0,0,0,NGC 4363,True,False,False,False,VFID0000,False,False,False,True,True,False,VFID0000-NGC4363
VFID0001,182.208,74.9042778,1331.5,49.673099517822266,True,NGC4133,38578,0,0,0,NGC 4133,True,False,False,False,VFID0001,False,False,False,True,True,False,VFID0001-NGC4133
VFID0002,145.944663,74.8595778,3049.4,62.390899658203125,True,NGC2977,27845,0,0,0,NGC 2977,True,False,False,False,VFID0002,False,False,False,True,True,False,VFID0002-NGC2977
VFID0003,185.5730835,74.8383889,1833.0,26.128908157348633,True,PGC040048,40048,0,0,0,CGCG 352-030,True,False,False,False,VFID0003,False,False,False,True,True,False,VFID0003-CGCG352-030
VFID0004,182.82775049999998,74.8082222,1683.0,40.93749237060547,True,UGC07189,38805,0,0,0,UGC 07189,True,False,False,False,VFID0004,False,False,False,True,True,False,VFID0004-UGC07189
VFID0005,173.1341835,74.6275401,1920.1,48.65430450439453,True,NGC3752,35608,0,0,0,NGC 3752,True,False,False,False,VFID0005,False,False,False,True,True,True,VFID0005-NGC3752
VFID0006,121.912404,74.5846308,2333.0,26.984928131103516,True,UGC04202,22815,0,0,0,UGC 04202,True,False,False,False,VFID0006,False,False,False,True,True,False,VFID0006-UGC04202
VFID0007,118.2363,74.576533,2346.0,23.448833465576172,True,PGC022064,22064,0,0,0,KUG 0746+747,True,False,False,False,VFID0007,False,False,False,True,True,False,VFID0007-KUG0746+747
VFID0008,274.943166,74.5683889,1484.5,99.5683364868164,True,NGC6643,61742,0,0,0,NGC 6643,True,False,False,False,VFID0008,False,False,False,True,True,False,VFID0008-NGC6643
VFID0009,183.47745,74.501404,1702.1,39.54770278930664,True,UGC07238,39036,0,0,0,UGC 07238,True,False,False,False,VFID0009,False,False,False,True,True,False,VFID0009-UGC07238
