cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
19,5.880884,-126.491448,189.35,74.19,VFID0018,NGC4589,HPESL070A_J123723.8+741127,blue,189.34947,74.19089,0.000066,0.000018,209.874,205.238,20.351,7.496,12.235,5.982,0.48895,f,1342265561
28,0.696761,-166.17431,157.69,73.89,VFID0027,UGC05689,HPESL160A_J103045.8+735307,red,157.691058,73.885235,0.00091,0.000253,1208.796,14.914,18.636,123.856,29.666,11.879,0.400415,f,1342231359
31,2.070607,113.457282,158.60,73.77,VFID0030,NGC3252,HPESL100A_J103423.5+734553,green,158.598272,73.764784,0.000385,0.000108,1704.284,48.369,33.873,143.241,25.026,12.36,0.493877,f,1342231359
37,0.315187,-139.819145,163.48,73.69,VFID0036,NGC3403,HPESL100A_J105354.8+734125,green,163.47834,73.690294,0.000571,0.00016,1588.379,31.843,15.538,176.685,37.723,17.033,0.451515,f,1342231359
56,0.992765,-179.539695,154.22,73.40,VFID0055,NGC3147,HPESL100A_J101653.6+732402,green,154.223647,73.400458,0.000532,0.000152,4191.708,37.895,5.52,309.088,26.078,22.523,0.863654,f,1342231359
88,3.375699,-58.091415,107.93,72.17,VFID0087,UGC03701,HPESL160A_J071142.0+721011,red,107.925276,72.16969,0.000861,0.000264,209.644,8.238,6.317,27.945,30.398,null,0,t,1342265553
133,30.230941,-31.790885,151.38,70.36,VFID0132,UGC05423,HPESL100A_J100527.6+702218,green,151.365297,70.37158,0.000809,0.000272,71.968,2.967,3.572,53.354,20.807,null,0,f,1342207175
188,0.068859,168.540601,170.05,67.24,VFID0187,NGC3622,HPESL160A_J112012.3+671430,red,170.051575,67.24161,0.000058,0.000023,1817.037,32.573,22.28,102.528,29.137,15.343,0.526569,t,1342243215
241,37.794363,-107.457691,182.02,65.17,VFID0240,NGC4125,HPESL100A_J120800.2+651016,green,182.001023,65.171025,0.000489,0.000205,114.825,1.151,null,184.417,14.906,null,0,f,1342270916
489,2.388158,-174.429322,178.31,60.68,VFID0488,NGC3945,HPESL160A_J115313.6+604030,red,178.306813,60.674926,0.000721,0.000353,92.647,5.718,3.579,36.042,25.674,17.455,0.679862,f,1342255706
542,0.763055,-169.203992,262.12,60.09,VFID0541,NGC6390,HPESL160A_J172828.0+600538,red,262.116901,60.094009,0.001074,0.000536,673.833,13.276,10.359,76.977,27.239,null,0,f,1342186123
553,3.033465,-122.640847,261.82,60.01,VFID0552,NGC6381,HPESL160A_J172716.5+600049,red,261.818875,60.013559,0.000981,0.000491,1722.392,15.732,13.428,130.393,50.02,null,0,f,1342186123
574,20.242359,10.288452,252.73,59.72,VFID0573,UGC10590,HPESL070A_J165056.6+594328,blue,252.735991,59.724477,0.00071,0.000358,492.647,12.29,9.693,123.008,23.835,null,0,f,1342183062
