cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,objname_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
19,5.880884,-126.491448,1.8935429100E+02,7.4191861100E+01,VFID0018,NGC4589,HPESL070A_J123723.8+741127,blue,189.349470,74.190890,0.000066,0.000018,209.874,205.238,20.351,7.496,12.235,5.982,0.488950,f,1342265561
19,6.262813,-128.462296,1.8935429100E+02,7.4191861100E+01,VFID0018,NGC4589,HPESL100A_J123723.8+741127,green,189.349291,74.190779,0.000050,0.000014,373.905,74.368,17.289,13.895,15.838,7.183,0.453547,f,1342265563
28,0.696761,-166.174310,1.5769122450E+02,7.3885422800E+01,VFID0027,UGC05689,HPESL160A_J103045.8+735307,red,157.691058,73.885235,0.000910,0.000253,1208.796,14.914,18.636,123.856,29.666,11.879,0.400415,f,1342231359
31,2.070607,113.457282,1.5859638450E+02,7.3765012900E+01,VFID0030,NGC3252,HPESL100A_J103423.5+734553,green,158.598272,73.764784,0.000385,0.000108,1704.284,48.369,33.873,143.241,25.026,12.360,0.493877,f,1342231359
31,2.373709,119.242798,1.5859638450E+02,7.3765012900E+01,VFID0030,NGC3252,HPESL160A_J103423.6+734553,red,158.598442,73.764691,0.000459,0.000128,2309.421,20.661,19.660,151.878,28.960,14.263,0.492502,f,1342231359
37,0.315187,-139.819145,1.6347854100E+02,7.3690361100E+01,VFID0036,NGC3403,HPESL100A_J105354.8+734125,green,163.478340,73.690294,0.000571,0.000160,1588.379,31.843,15.538,176.685,37.723,17.033,0.451515,f,1342231359
37,1.214124,51.138796,1.6347854100E+02,7.3690361100E+01,VFID0036,NGC3403,HPESL160A_J105355.0+734126,red,163.479476,73.690573,0.000714,0.000201,2403.716,13.056,13.159,203.581,38.751,17.562,0.453199,f,1342231359
56,0.992765,-179.539695,1.5422365500E+02,7.3400733600E+01,VFID0055,NGC3147,HPESL100A_J101653.6+732402,green,154.223647,73.400458,0.000532,0.000152,4191.708,37.895,5.520,309.088,26.078,22.523,0.863654,f,1342231359
88,3.375699,-58.091415,1.0792787550E+02,7.2169194400E+01,VFID0087,UGC03701,HPESL160A_J071142.0+721011,red,107.925276,72.169690,0.000861,0.000264,209.644,8.238,6.317,27.945,30.398,null,0.000000,t,1342265553
88,32.235258,-103.440494,1.0792787550E+02,7.2169194400E+01,VFID0087,UGC03701,HPESL070A_J071135.8+721002,blue,107.899437,72.167111,0.000787,0.000241,31.783,3.976,null,20.123,16.895,null,0.000000,f,1342265555
133,30.230941,-31.790885,1.5137846700E+02,7.0364442800E+01,VFID0132,UGC05423,HPESL100A_J100527.6+702218,green,151.365297,70.371580,0.000809,0.000272,71.968,2.967,3.572,53.354,20.807,null,0.000000,f,1342207175
188,0.068859,168.540601,1.7005156500E+02,6.7241628300E+01,VFID0187,NGC3622,HPESL160A_J112012.3+671430,red,170.051575,67.241610,0.000058,0.000023,1817.037,32.573,22.280,102.528,29.137,15.343,0.526569,t,1342243215
188,1.810243,-178.816858,1.7005156500E+02,6.7241628300E+01,VFID0187,NGC3622,HPESL100A_J112012.3+671428,green,170.051538,67.241126,0.000063,0.000024,1687.720,69.140,null,63.905,17.552,9.655,0.550048,f,1342243217
