|    VFID|                RA|               DEC|                vr|    radius|radius_flag|                  objname|    PGC|NSAIDV1|NSAIDV0|   AGC|                     NEDname|HLflag|NSAV1flag|NSAV0flag|A100flag| VFID_V1|COflag|HAflag|HAobsflag|Z0MGSflag|Steerflag|unwiseflag|                              prefix|Herschelflag|HerschelFlag|
|    char|            double|            double|            double|     float|       char|                     char|   long|   long|   long|  long|                        char|  char|     char|     char|    char|    char|  char|  char|     char|     char|     char|      char|                                char|        char|        char|
|        |                  |                  |                  |    arcsec|           |                         |       |       |       |      |                            |      |         |         |        |        |      |      |         |         |         |          |                                    |            |            |
|    null|              null|              null|              null|      null|       null|                     null|   null|   null|   null|  null|                        null|  null|     null|     null|    null|    null|  null|  null|     null|     null|     null|      null|                                null|        null|        null|
 VFID0377 243.62550000000002         62.5366944             2876.1  41.506992        True                    IC1210   57589  633255  146842      0                      IC 1210   True      True      True    False VFID0377   True   True      True      True      True       True                      VFID0377-IC1210        False        False 
 VFID0385 245.21731112326881 62.433934050249185    3015.6396484375   0.290445        True                      null   -1000  530252       0      0               MCG +10-23-067  False      True     False    False VFID0385  False  False      True     False      True       True               VFID0385-MCG+10-23-067        False        False 
 VFID0422         243.761709         61.7819444             2942.0   9.911086        True                 PGC057611   57611  633260  146848      0                      ARK 499   True      True      True    False VFID0422   True   True      True      True      True       True                      VFID0422-ARK499        False        False 
 VFID0448         257.543478         61.3504145             3086.9   24.78114        True                  UGC10745   59725   24379    4179      0                    UGC 10745   True      True      True    False VFID0448  False   True      True     False      True       True                    VFID0448-UGC10745        False        False 
 VFID0469        175.4438415         60.9945906             3288.5   7.032686        True   SDSSJ114146.27+605938.2 4291418       0       0      0     SDSS J114145.90+605931.9   True     False     False    False VFID0469  False   True      True     False      True       True     VFID0469-SDSSJ114145.90+605931.9        False        False 
 VFID0473        256.8030195         60.9206687             3097.2   15.17474        True                PGC2609009 2609009   25174    4286      0    WISEA J170712.75+605514.5   True      True      True    False VFID0473  False   True      True     False      True       True    VFID0473-WISEAJ170712.75+605514.5        False        False 
 VFID0474         176.102055         60.8840823             1497.1  14.558655        True                PGC2608407 2608407  573091  124560      0    WISEA J114424.53+605302.6   True      True      True    False VFID0474  False   True      True     False      True       True    VFID0474-WISEAJ114424.53+605302.6        False        False 
 VFID0481        256.9186545         60.7508328             3056.0  40.749405        True                   NGC6307   59655  634065  147732      0                     NGC 6307   True      True      True    False VFID0481  False   True      True      True      True       True                     VFID0481-NGC6307        False        False 
 VFID0483        256.9039725         60.7287914             2972.0  39.456745        True                   NGC6306   59654  634064  147731      0                     NGC 6306   True      True      True    False VFID0483   True   True      True      True      True       True                     VFID0483-NGC6306        False        False 
 VFID0487        175.8625905         60.6764178             1280.3   32.44302        True                  UGC06691   36447  662938  160446      0                    UGC 06691   True      True      True    False VFID0487  False  False      True     False      True       True                    VFID0487-UGC06691        False        False 
 VFID0496         176.505213         60.5017777             1343.0  17.828764        True   SDSSJ114601.21+603006.5 4011191  573113  124563      0    WISEA J114601.22+603006.0   True      True      True    False VFID0496  False   True      True     False      True       True    VFID0496-WISEAJ114601.22+603006.0        False        False 
 VFID0501         222.441969         60.3985749             2314.4  24.384916        True                  UGC09556   52952  683452  165654      0                    UGC 09556   True      True      True    False VFID0501   True   True      True      True      True       True                    VFID0501-UGC09556        False        False 
 VFID0520          175.12971         60.2989222             1234.7  43.764427        True                   NGC3796   36215  627136  140038      0                     NGC 3796   True      True      True    False VFID0520   True   True      True      True      True       True                     VFID0520-NGC3796        False        False 
 VFID0531 174.86299050000002         60.1728463             1264.4       30.0       False                PGC2807143 2807143       0       0      0     SDSS J113926.90+601021.4   True     False     False    False VFID0531  False   True      True     False      True       True     VFID0531-SDSSJ113926.90+601021.4        False        False 
 VFID0538 176.02034849999998         60.1197738             2443.2  57.427677        True                   NGC3835   36493  663020  160464      0                     NGC 3835   True      True      True    False VFID0538  False   True      True      True      True       True                     VFID0538-NGC3835        False        False 
 VFID0568 227.92070999999999          59.808913             2464.5   89.35549        True                   NGC5894   54234  684166  165980      0                     NGC 5894   True      True      True    False VFID0568   True   True      True      True      True       True                     VFID0568-NGC5894        False        False 
