cntr_01,dist_x,pang_x,vfid_01,ra_01,dec_01,vr_01,radius_01,radius_flag_01,objname_01,pgc_01,nsaidv1_01,nsaidv0_01,agc_01,nedname_01,hlflag_01,nsav1flag_01,nsav0flag_01,a100flag_01,vfid_v1_01,coflag_01,haflag_01,haobsflag_01,z0mgsflag_01,steerflag_01,unwiseflag_01,prefix_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
41,2.676348,-46.871872,VFID0956,177.313767,56.0843617,1173.0,104.02105713,True,NGC3898,36921,627359,140303,0,NGC 3898,True,True,True,False,VFID0957,True,True,True,True,True,True,VFID0956-NGC3898,HPESL100A_J114915.0+560506,green,177.312795,56.08487,0.000129,7.2e-05,375.095,15.507,15.798,82.507,16.109,7.800,0.484195,f,1342255866
52,1.682048,177.21692,VFID1018,178.9378935,55.3207262,854.0,107.67658234,True,NGC3972,37466,200396,41674,0,NGC 3972,True,True,True,False,VFID1019,False,True,True,True,True,True,VFID1018-NGC3972,HPESL070A_J115545.1+551913,blue,178.937933,55.32026,1.2e-05,7e-06,511.876,5.964,null,201.058,13.707,7.069,0.515714,t,1342221588
52,1.846895,152.278222,VFID1018,178.9378935,55.3207262,854.0,107.67658234,True,NGC3972,37466,200396,41674,0,NGC 3972,True,True,True,False,VFID1019,False,True,True,True,True,True,VFID1018-NGC3972,HPESL160A_J115545.2+551913,red,178.938313,55.320272,9e-06,5e-06,2117.008,17.734,8.093,212.667,43.239,19.271,0.445675,t,1342221588
52,21.116614,-73.768458,VFID1018,178.9378935,55.3207262,854.0,107.67658234,True,NGC3972,37466,200396,41674,0,NGC 3972,True,True,True,False,VFID1019,False,True,True,True,True,True,VFID1018-NGC3972,HPESL070A_J115542.7+551921,blue,178.927995,55.322365,5.1e-05,2.9e-05,316.845,3.052,null,195.975,23.794,null,0.0,t,1342221588
53,10.272252,-155.593027,VFID1035,179.1171885,55.1252607,1112.2,56.509471893,True,NGC3982,37520,200397,41675,0,NGC 3982,True,True,True,False,VFID1036,True,True,True,True,True,True,VFID1035-NGC3982,HPESL160A_J115627.6+550722,red,179.115127,55.122662,0.000136,7.8e-05,7213.311,24.74,11.697,619.253,43.147,null,0.0,f,1342257149
59,27.990877,116.859785,VFID1212,178.4542245,52.3266874,1051.0,183.7051239,True,NGC3953,37306,627439,140405,0,NGC 3953,True,True,True,False,VFID1213,True,True,True,True,True,True,VFID1212-NGC3953,HPESL100A_J115351.7+521923,green,178.465573,52.323174,0.000259,0.000158,409.587,4.626,null,340.274,28.596,null,0.0,f,1342255880
59,31.507379,-120.751787,VFID1212,178.4542245,52.3266874,1051.0,183.7051239,True,NGC3953,37306,627439,140405,0,NGC 3953,True,True,True,False,VFID1213,True,True,True,True,True,True,VFID1212-NGC3953,HPESL100A_J115346.0+521920,green,178.441919,52.322212,0.000152,9.3e-05,541.165,5.524,null,300.778,19.455,null,0.0,f,1342255880
59,36.351094,161.984933,VFID1212,178.4542245,52.3266874,1051.0,183.7051239,True,NGC3953,37306,627439,140405,0,NGC 3953,True,True,True,False,VFID1213,True,True,True,True,True,True,VFID1212-NGC3953,HPESL100A_J115350.2+521902,green,178.459333,52.317085,0.000387,0.000237,388.637,4.575,null,268.382,17.712,null,0.0,f,1342255880
69,30.627777,-29.901768,VFID1374,181.535652,49.5827722,1115.0,136.81108093,True,NGC4100,38370,665481,161045,0,NGC 4100,True,True,True,False,VFID1376,True,True,True,True,True,True,VFID1374-NGC4100,HPESL100A_J120606.9+493525,green,181.529109,49.590147,6.9e-05,4.5e-05,2376.636,1.64,null,3558.484,15.426,10.402,0.674359,f,1342256176
76,17.40127,-31.474894,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL100A_J132951.8+471157,green,202.465833,47.199273,4.7e-05,3.2e-05,18885.314,12.349,null,3663.564,21.449,null,0.0,f,1342178524
76,19.650493,-51.102868,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132951.1+471155,blue,202.463295,47.198578,0.00015,0.000102,12162.991,3.692,null,2206.684,12.69,null,0.0,f,1342178536
76,26.021569,-112.190631,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL160A_J132950.3+471133,red,202.459698,47.192421,4.7e-05,3.2e-05,23053.715,18.485,5.528,2860.003,63.395,null,0.0,f,1342178865
