objname_01,ra_01,dec_01,radius_01,vfid_01
NGC3898,177.313767,56.0843617,104.0210571,VFID0956
NGC3972,178.9378935,55.3207262,107.6765823,VFID1018
NGC3982,179.1171885,55.1252607,56.50947189,VFID1035
NGC3953,178.4542245,52.3266874,183.7051239,VFID1212
NGC4100,181.535652,49.5827722,136.8110809,VFID1374
NGC5194,202.469547,47.195151,411.2646179,VFID1550
NGC4051,180.790416,44.5312149,177.060318,VFID1754
NGC4183,183.320361,43.6985004,128.5645599,VFID1803
NGC4138,182.3740425,43.6852719,85.5305481,VFID1804
NGC2799,139.3790535,41.9941715,52.85927963,VFID1934
UGC04904,139.34034,41.910946,27.10948372,VFID1939
NGC5290,206.329785,41.7124718,97.07809448,VFID1953
NGC5350,208.340064,40.3639366,80.56033325,VFID2066
NGC3294,159.067704,37.3246539,92.28290558,VFID2313
NGC5240,203.9799645,35.5882516,54.96943283,VFID2463
NGC3381,162.1034055,34.7114023,60.55099106,VFID2544
NGC5347,208.324161,33.4908244,48.6543045,VFID2620
NGC3395,162.4587915,32.9828333,47.98674011,VFID2667
NGC3430,163.0475205,32.950424,119.7074738,VFID2670
NGC3424,162.943305,32.9003095,74.66571808,VFID2677
NGC3788,174.935796,31.9312405,59.8578682,VFID2760
NGC3786,174.926754,31.9071305,58.7653389,VFID2764
NGC4359,186.0464025,31.5219141,41.41152954,VFID2795
NGC4525,188.46306,30.2775211,59.99585724,VFID2881
NGC3245A,156.754755,28.6393464,69.68210602,VFID3019
NGC3512,166.012269,28.0367856,47.65640259,VFID3084
NGC4559,188.9903415,27.9596837,317.0452576,VFID3095
NGC3629,170.1325335,26.96335,52.98113632,VFID3174
PGC031387,158.925222,26.1258846,17.42293167,VFID3221
NGC4565,189.086598,25.9875214,502.4828491,VFID3234
UGC05588,155.2380735,25.3649211,16.63877106,VFID3300
NGC3187,154.4493525,21.8733281,67.31645966,VFID3546
NGC3190,154.5260505,21.8326815,109.1745071,VFID3551
NGC5953,233.634975,15.1937933,44.16937637,VFID4179
NGC5248,204.3834195,8.885176,122.2140808,VFID5292
NGC5356,208.7435295,5.3337007,84.9417572,VFID5842
NGC5348,208.5469185,5.227286,116.4451065,VFID5855
NGC5364,209.0498895,5.0146562,114.0568161,VFID5889
IC1048,220.74156,4.8896824,62.53472519,VFID5905
NGC4303A,185.6134035,4.5662732,34.05032349,VFID5949
NGC4303,185.478414,4.4737765,206.5956879,VFID5960
NGC5668,218.351295,4.4504957,57.16382217,VFID5964
NGC5560,215.018397,3.992753,103.5431213,VFID6018
NGC5300,207.0668595,3.9508765,84.9417572,VFID6028
IC1022,217.50768,3.7728979,28.98152542,VFID6048
NGC5577,215.3045715,3.4358432,85.92533875,VFID6091
NGC5692,219.575478,3.4103085,28.64977837,VFID6098
NGC5746,221.233062,1.9549057,217.3307953,VFID6340
UGC09215,215.8630875,1.7262628,62.96819687,VFID6380
UGC09348,218.1187425,0.2940298,53.22568512,VFID6603
