cntr_01,dist_x,pang_x,vfid_01,ra_01,dec_01,vr_01,radius_01,radius_flag_01,objname_01,pgc_01,nsaidv1_01,nsaidv0_01,agc_01,nedname_01,hlflag_01,nsav1flag_01,nsav0flag_01,a100flag_01,vfid_v1_01,coflag_01,haflag_01,haobsflag_01,z0mgsflag_01,steerflag_01,unwiseflag_01,prefix_01,col24_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid,ROW_IDX,ROW_NUM
41,2.676348,-46.871872,VFID0956,1.7731376700E+02,5.6084361700E+01,1.1730000000E+03,1.0402105713E+02,True,NGC3898,36921,627359,140303,0,NGC 3898,True,True,True,False,VFID0957,True,True,True,True,True,True,VFID0956-NGC3898,"(b'VFID0956', 177.313767, 56.0843617, 1173., 104.02106, True, b'NGC3898', 36921, 627359, 140303, 0, b'NGC 3898', True, True, True, False, b'VFID0957', True, True, True, True, True, True, b'VFID0956-NGC3898')",HPESL100A_J114915.0+560506,green,177.312795,56.084870,0.000129,0.000072,375.095,15.507,15.798,82.507,16.109,7.800,0.484195,f,1342255866,0,0
52,1.682048,177.216920,VFID1018,1.7893789350E+02,5.5320726200E+01,8.5400000000E+02,1.0767658234E+02,True,NGC3972,37466,200396,41674,0,NGC 3972,True,True,True,False,VFID1019,False,True,True,True,True,True,VFID1018-NGC3972,"(b'VFID1018', 178.9378935, 55.3207262, 854., 107.67658, True, b'NGC3972', 37466, 200396, 41674, 0, b'NGC 3972', True, True, True, False, b'VFID1019', False, True, True, True, True, True, b'VFID1018-NGC3972')",HPESL070A_J115545.1+551913,blue,178.937933,55.320260,0.000012,0.000007,511.876,5.964,null,201.058,13.707,7.069,0.515714,t,1342221588,1,1
52,1.846895,152.278222,VFID1018,1.7893789350E+02,5.5320726200E+01,8.5400000000E+02,1.0767658234E+02,True,NGC3972,37466,200396,41674,0,NGC 3972,True,True,True,False,VFID1019,False,True,True,True,True,True,VFID1018-NGC3972,"(b'VFID1018', 178.9378935, 55.3207262, 854., 107.67658, True, b'NGC3972', 37466, 200396, 41674, 0, b'NGC 3972', True, True, True, False, b'VFID1019', False, True, True, True, True, True, b'VFID1018-NGC3972')",HPESL160A_J115545.2+551913,red,178.938313,55.320272,0.000009,0.000005,2117.008,17.734,8.093,212.667,43.239,19.271,0.445675,t,1342221588,2,2
99,0.415956,-147.143702,VFID1803,1.8332036100E+02,4.3698500400E+01,9.1990000000E+02,1.2856455994E+02,True,NGC4183,38988,298117,60664,0,NGC 4183,True,True,True,False,VFID1805,False,False,True,True,True,True,VFID1803-NGC4183,"(b'VFID1803', 183.320361, 43.6985004, 919.9, 128.56456, True, b'NGC4183', 38988, 298117, 60664, 0, b'NGC 4183', True, True, True, False, b'VFID1805', False, False, True, True, True, True, b'VFID1803-NGC4183')",HPESL100A_J121316.8+434154,green,183.320274,43.698403,0.000037,0.000027,939.779,18.644,8.382,152.183,14.023,8.599,0.613191,f,1342256168,3,3
99,0.846690,-43.647601,VFID1803,1.8332036100E+02,4.3698500400E+01,9.1990000000E+02,1.2856455994E+02,True,NGC4183,38988,298117,60664,0,NGC 4183,True,True,True,False,VFID1805,False,False,True,True,True,True,VFID1803-NGC4183,"(b'VFID1803', 183.320361, 43.6985004, 919.9, 128.56456, True, b'NGC4183', 38988, 298117, 60664, 0, b'NGC 4183', True, True, True, False, b'VFID1805', False, False, True, True, True, True, b'VFID1803-NGC4183')",HPESL160A_J121316.8+434155,red,183.320136,43.698671,0.000062,0.000045,1504.403,20.882,10.476,130.564,29.138,13.576,0.465902,f,1342256168,4,4
121,4.337835,101.266300,VFID1934,1.3937905350E+02,4.1994171500E+01,1.8700000000E+03,5.2859279633E+01,True,NGC2799,26238,229868,47220,0,NGC 2799,True,True,True,False,VFID1936,True,True,True,True,True,True,VFID1934-NGC2799,"(b'VFID1934', 139.3790535, 41.9941715, 1870., 52.85928, True, b'NGC2799', 26238, 229868, 47220, 0, b'NGC 2799', True, True, True, False, b'VFID1936', True, True, True, True, True, True, b'VFID1934-NGC2799')",HPESL160A_J091731.3+415938,red,139.380644,41.993936,0.000046,0.000034,835.398,22.228,14.632,64.867,25.424,11.366,0.447054,t,1342207162,5,5
122,3.843367,5.776744,VFID1939,1.3934034000E+02,4.1910946000E+01,1.6739000000E+03,2.7109483719E+01,True,UGC04904,26231,229871,135806,0,UGC 04904,True,True,True,False,VFID1941,False,True,True,True,True,True,VFID1939-UGC04904,"(b'VFID1939', 139.34034, 41.910946, 1673.9, 27.109484, True, b'UGC04904', 26231, 229871, 135806, 0, b'UGC 04904', True, True, True, False, b'VFID1941', False, True, True, True, True, True, b'VFID1939-UGC04904')",HPESL160A_J091721.7+415443,red,139.340484,41.912008,0.000142,0.000106,347.477,13.960,11.024,31.921,27.391,14.624,0.533877,t,1342207162,6,6
206,1.732189,-34.693097,VFID2313,1.5906770400E+02,3.7324653900E+01,1.5688000000E+03,9.2282905579E+01,True,NGC3294,31428,653786,158541,0,NGC 3294,True,True,True,False,VFID2315,True,True,True,True,True,True,VFID2313-NGC3294,"(b'VFID2313', 159.067704, 37.3246539, 1568.8, 92.282906, True, b'NGC3294', 31428, 653786, 158541, 0, b'NGC 3294', True, True, True, False, b'VFID2315', True, True, True, True, True, True, b'VFID2313-NGC3294')",HPESL160A_J103616.1+371930,red,159.067360,37.325050,0.000054,0.000043,4657.076,14.373,4.233,700.537,35.334,20.247,0.573021,f,1342255451,7,7
234,2.567897,52.059573,VFID2544,1.6210340550E+02,3.4711402300E+01,1.6281000000E+03,6.0550991058E+01,True,NGC3381,32302,431962,90176,5909,NGC 3381,True,True,True,True,VFID2546,True,True,True,True,True,True,VFID2544-NGC3381,"(b'VFID2544', 162.1034055, 34.7114023, 1628.1, 60.55099, True, b'NGC3381', 32302, 431962, 90176, 5909, b'NGC 3381', True, True, True, True, b'VFID2546', True, True, True, True, True, True, b'VFID2544-NGC3381')",HPESL160A_J104824.9+344243,red,162.104090,34.711841,0.000082,0.000068,1635.923,21.382,9.057,125.994,29.441,12.246,0.415941,f,1342255910,8,8
274,3.376631,-46.127077,VFID2667,1.6245879150E+02,3.2982833300E+01,1.6190000000E+03,4.7986740112E+01,True,NGC3395,32424,625359,138144,5931,NGC 3395,True,True,True,True,VFID2669,False,True,True,True,True,True,VFID2667-NGC3395,"(b'VFID2667', 162.4587915, 32.9828333, 1619., 47.98674, True, b'NGC3395', 32424, 625359, 138144, 5931, b'NGC 3395', True, True, True, True, b'VFID2669', False, True, True, True, True, True, b'VFID2667-NGC3395')",HPESL160A_J104949.9+325901,red,162.457985,32.983483,0.000012,0.000010,4487.384,30.992,10.900,313.427,30.425,19.253,0.632810,t,1342221104,9,9
274,3.623009,-41.504908,VFID2667,1.6245879150E+02,3.2982833300E+01,1.6190000000E+03,4.7986740112E+01,True,NGC3395,32424,625359,138144,5931,NGC 3395,True,True,True,True,VFID2669,False,True,True,True,True,True,VFID2667-NGC3395,"(b'VFID2667', 162.4587915, 32.9828333, 1619., 47.98674, True, b'NGC3395', 32424, 625359, 138144, 5931, b'NGC 3395', True, True, True, True, b'VFID2669', False, True, True, True, True, True, b'VFID2667-NGC3395')",HPESL100A_J104949.9+325901,green,162.457996,32.983587,0.000018,0.000015,5266.727,42.240,null,342.933,17.242,null,0.000000,f,1342221106,10,10
274,5.429674,-53.187254,VFID2667,1.6245879150E+02,3.2982833300E+01,1.6190000000E+03,4.7986740112E+01,True,NGC3395,32424,625359,138144,5931,NGC 3395,True,True,True,True,VFID2669,False,True,True,True,True,True,VFID2667-NGC3395,"(b'VFID2667', 162.4587915, 32.9828333, 1619., 47.98674, True, b'NGC3395', 32424, 625359, 138144, 5931, b'NGC 3395', True, True, True, True, b'VFID2669', False, True, True, True, True, True, b'VFID2667-NGC3395')",HPESL070A_J104949.7+325901,blue,162.457352,32.983737,0.000025,0.000021,3897.739,32.168,null,290.386,16.787,null,0.000000,f,1342221104,11,11
275,0.396111,177.845068,VFID2670,1.6304752050E+02,3.2950424000E+01,1.5835000000E+03,1.1970747375E+02,True,NGC3430,32614,432253,90222,5982,NGC 3430,True,True,True,True,VFID2672,True,True,True,True,True,True,VFID2670-NGC3430,"(b'VFID2670', 163.0475205, 32.950424, 1583.5, 119.70747, True, b'NGC3430', 32614, 432253, 90222, 5982, b'NGC 3430', True, True, True, True, b'VFID2672', True, True, True, True, True, True, b'VFID2670-NGC3430')",HPESL160A_J105211.4+325701,red,163.047525,32.950314,0.000077,0.000065,3656.790,20.910,6.496,343.998,25.040,19.866,0.793376,f,1342255914,12,12
302,6.827115,-63.492086,VFID2760,1.7493579600E+02,3.1931240500E+01,2.6690000000E+03,5.9857868195E+01,True,NGC3788,36160,426632,88792,6623,NGC 3788,True,True,True,True,VFID2762,True,True,True,True,True,True,VFID2760-NGC3788,"(b'VFID2760', 174.935796, 31.9312405, 2669., 59.85787, True, b'NGC3788', 36160, 426632, 88792, 6623, b'NGC 3788', True, True, True, True, b'VFID2762', True, True, True, True, True, True, b'VFID2760-NGC3788')",HPESL070A_J113944.1+315556,blue,174.933796,31.932087,0.000067,0.000057,927.596,4.414,4.196,329.701,15.561,null,0.000000,f,1342223319,13,13
302,8.772551,163.812050,VFID2760,1.7493579600E+02,3.1931240500E+01,2.6690000000E+03,5.9857868195E+01,True,NGC3788,36160,426632,88792,6623,NGC 3788,True,True,True,True,VFID2762,True,True,True,True,True,True,VFID2760-NGC3788,"(b'VFID2760', 174.935796, 31.9312405, 2669., 59.85787, True, b'NGC3788', 36160, 426632, 88792, 6623, b'NGC 3788', True, True, True, True, b'VFID2762', True, True, True, True, True, True, b'VFID2760-NGC3788')",HPESL160A_J113944.7+315544,red,174.936596,31.928900,0.000132,0.000112,2555.279,16.292,5.856,323.727,36.638,null,0.000000,f,1342223319,14,14
315,6.346417,-77.026723,VFID2795,1.8604640250E+02,3.1521914100E+01,1.2510000000E+03,4.1411529541E+01,True,NGC4359,40330,428159,89276,7483,NGC 4359,True,True,True,True,VFID2797,True,True,True,True,True,True,VFID2795-NGC4359,"(b'VFID2795', 186.0464025, 31.5219141, 1251., 41.41153, True, b'NGC4359', 40330, 428159, 89276, 7483, b'NGC 4359', True, True, True, True, b'VFID2797', True, True, True, True, True, True, b'VFID2795-NGC4359')",HPESL100A_J122410.6+313120,green,186.044387,31.522310,0.000128,0.000109,720.694,15.647,null,113.757,14.474,null,0.000000,f,1342257125,15,15
315,9.001963,-75.159185,VFID2795,1.8604640250E+02,3.1521914100E+01,1.2510000000E+03,4.1411529541E+01,True,NGC4359,40330,428159,89276,7483,NGC 4359,True,True,True,True,VFID2797,True,True,True,True,True,True,VFID2795-NGC4359,"(b'VFID2795', 186.0464025, 31.5219141, 1251., 41.41153, True, b'NGC4359', 40330, 428159, 89276, 7483, b'NGC 4359', True, True, True, True, b'VFID2797', True, True, True, True, True, True, b'VFID2795-NGC4359')",HPESL160A_J122410.4+313121,red,186.043567,31.522555,0.000135,0.000115,965.373,16.232,10.888,103.035,36.840,13.941,0.378429,f,1342257125,16,16
361,5.669139,145.255831,VFID3019,1.5675475500E+02,2.8639346400E+01,1.3243000000E+03,6.9682106018E+01,True,NGC3245A,30714,497538,107715,5662,NGC 3245A,True,True,True,True,VFID3022,True,True,True,True,True,True,VFID3019-NGC3245A,"(b'VFID3019', 156.754755, 28.6393464, 1324.3, 69.682106, True, b'NGC3245A', 30714, 497538, 107715, 5662, b'NGC 3245A', True, True, True, True, b'VFID3022', True, True, True, True, True, True, b'VFID3019-NGC3245A')",HPESL160A_J102701.3+283817,red,156.755778,28.638052,0.000344,0.000302,330.801,8.071,8.414,62.594,41.078,13.433,0.327020,f,1342255930,17,17
376,5.596674,-65.252377,VFID3084,1.6601226900E+02,2.8036785600E+01,1.3717000000E+03,4.7656402588E+01,True,NGC3512,33432,657348,159215,6128,NGC 3512,True,True,True,True,VFID3087,False,True,True,True,True,True,VFID3084-NGC3512,"(b'VFID3084', 166.012269, 28.0367856, 1371.7, 47.656403, True, b'NGC3512', 33432, 657348, 159215, 6128, b'NGC 3512', True, True, True, True, b'VFID3087', False, True, True, True, True, True, b'VFID3084-NGC3512')",HPESL160A_J110402.5+280215,red,166.010669,28.037436,0.000519,0.000459,2208.031,24.842,11.031,162.992,35.226,null,0.000000,f,1342255296,18,18
378,6.477287,104.516579,VFID3095,1.8899034150E+02,2.7959683700E+01,8.1360000000E+02,3.1704525757E+02,True,NGC4559,42002,0,0,7766,NGC 4559,True,False,False,True,VFID3098,True,True,True,True,True,False,VFID3095-NGC4559,"(b'VFID3095', 188.9903415, 27.9596837, 813.6, 317.04526, True, b'NGC4559', 42002, 0, 0, 7766, b'NGC 4559', True, False, False, True, b'VFID3098', True, True, True, True, True, False, b'VFID3095-NGC4559')",HPESL160A_J123558.1+275733,red,188.992313,27.959233,0.000023,0.000021,2023.677,13.775,2.932,289.196,28.608,26.246,0.917417,t,1342187067,19,19
378,9.758902,115.717397,VFID3095,1.8899034150E+02,2.7959683700E+01,8.1360000000E+02,3.1704525757E+02,True,NGC4559,42002,0,0,7766,NGC 4559,True,False,False,True,VFID3098,True,True,True,True,True,False,VFID3095-NGC4559,"(b'VFID3095', 188.9903415, 27.9596837, 813.6, 317.04526, True, b'NGC4559', 42002, 0, 0, 7766, b'NGC 4559', True, False, False, True, b'VFID3098', True, True, True, True, True, False, b'VFID3095-NGC4559')",HPESL100A_J123558.3+275731,green,188.993106,27.958507,0.000026,0.000023,1965.603,13.429,null,386.347,14.679,11.101,0.756273,f,1342187068,20,20
392,3.068424,34.177277,VFID3221,1.5892522200E+02,2.6125884600E+01,1.3964000000E+03,1.7422931671E+01,True,PGC031387,31387,497257,107609,201524,CGCG 124-041,True,True,True,True,VFID3224,True,True,True,False,True,True,VFID3221-CGCG124-041,"(b'VFID3221', 158.925222, 26.1258846, 1396.4, 17.422932, True, b'PGC031387', 31387, 497257, 107609, 201524, b'CGCG 124-041', True, True, True, True, b'VFID3224', True, True, True, False, True, True, b'VFID3221-CGCG124-041')",HPESL100A_J103542.1+260736,green,158.925755,26.126590,0.000064,0.000058,508.083,23.326,16.561,74.899,14.873,9.258,0.622470,f,1342255934,21,21
