VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,Herschelflag,prefix
VFID0018,189.354291,74.1918611,2001.9,87.92679596,TRUE,NGC4589,42139,0,0,0,NGC 4589,TRUE,FALSE,FALSE,FALSE,VFID0018,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID0018-NGC4589
VFID0087,107.9278755,72.1691944,2915.1,52.49539948,TRUE,UGC03701,20362,0,0,0,UGC 03701,TRUE,FALSE,FALSE,FALSE,VFID0087,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID0087-UGC03701
VFID0132,151.378467,70.3644428,353.2000122,33.12235641,TRUE,UGC05423,29284,0,0,0,UGC 05423,TRUE,FALSE,FALSE,FALSE,VFID0132,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID0132-UGC05423
VFID0187,170.051565,67.2416283,1302.2,37.42150497,TRUE,NGC3622,34692,659260,159631,0,NGC 3622,TRUE,TRUE,TRUE,FALSE,VFID0187,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0187-NGC3622
VFID0240,182.0248725,65.1741769,1389,176.2468109,TRUE,NGC4125,38524,627819,140814,0,NGC 4125,TRUE,TRUE,TRUE,FALSE,VFID0240,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0240-NGC4125
VFID0488,178.306944,60.6755863,1187,166.3877106,TRUE,NGC3945,37258,627431,140394,0,NGC 3945,TRUE,TRUE,TRUE,FALSE,VFID0488,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0488-NGC3945
VFID0692,133.8946005,58.734394,877,129.7541504,TRUE,NGC2685,25065,622979,135568,0,NGC 2685,TRUE,TRUE,TRUE,FALSE,VFID0693,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0692-NGC2685
VFID0696,208.691643,58.6666194,1719.5,20.75492859,TRUE,NGC5372,49451,630812,144074,0,NGC 5372,TRUE,TRUE,TRUE,FALSE,VFID0697,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0696-NGC5372
VFID0702,175.0281075,58.6131508,1207.7,63.11335373,TRUE,NGC3795,36192,662486,160336,0,NGC 3795,TRUE,TRUE,TRUE,FALSE,VFID0703,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0702-NGC3795
VFID0711,172.1398875,58.5629063,3129.7,72.29716492,TRUE,NGC3690,35321,179324,37217,0,NGC 3690,TRUE,TRUE,TRUE,FALSE,VFID0712,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0711-NGC3690
VFID0712,172.128264,58.5618373,2994.9,6.355083466,TRUE,IC0694,35326,660384,159897,0,IC 0694,TRUE,TRUE,TRUE,FALSE,VFID0713,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0712-IC0694
VFID0757,174.110361,58.1908545,1212.9,53.8420105,TRUE,UGC06575,35900,255144,52325,0,UGC 06575,TRUE,TRUE,TRUE,FALSE,VFID0758,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0757-UGC06575
VFID0936,228.9731505,56.3291505,667.4,338.9387817,TRUE,NGC5907,54470,0,145978,0,NGC 5907,TRUE,FALSE,TRUE,FALSE,VFID0937,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0936-NGC5907
VFID0948,175.2252165,56.2022045,1383,60.97071075,TRUE,NGC3794,36238,627147,140050,0,NGC 3794,TRUE,TRUE,TRUE,FALSE,VFID0949,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0948-NGC3794
VFID0956,177.313767,56.0843617,1173,104.0210571,TRUE,NGC3898,36921,627359,140303,0,NGC 3898,TRUE,TRUE,TRUE,FALSE,VFID0957,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID0956-NGC3898
VFID0960,161.343312,55.9603651,941.9,40.74940491,TRUE,NGC3353,32103,166638,34520,0,NGC 3353,TRUE,TRUE,TRUE,FALSE,VFID0961,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0960-NGC3353
VFID0976,226.6229835,55.7632193,674.4,189.2872009,TRUE,NGC5866,53933,683969,165916,0,NGC 5866,TRUE,TRUE,TRUE,FALSE,VFID0977,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0976-NGC5866
VFID0985,150.491748,55.6799633,1163.9,245.539444,TRUE,NGC3079,29050,0,136420,0,NGC 3079,TRUE,FALSE,TRUE,FALSE,VFID0986,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID0985-NGC3079
VFID1035,179.1171885,55.1252607,1112.2,56.50947189,TRUE,NGC3982,37520,200397,41675,0,NGC 3982,TRUE,TRUE,TRUE,FALSE,VFID1036,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1035-NGC3982
VFID1037,211.854039,55.1030125,1381.8,40.65568161,TRUE,NGC5486,50383,679695,164563,0,NGC 5486,TRUE,TRUE,TRUE,FALSE,VFID1038,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1037-NGC5486
VFID1040,176.061723,55.0349861,1428.1,58.092659,TRUE,NGC3846A,36506,199322,41336,0,NGC 3846A,TRUE,TRUE,TRUE,FALSE,VFID1041,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1040-NGC3846A
VFID1046,211.797279,55.0016262,1904.5,75.35659027,TRUE,NGC5485,50369,259694,53145,0,NGC 5485,TRUE,TRUE,TRUE,FALSE,VFID1047,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1046-NGC5485
VFID1097,163.6641765,54.3051139,1372,89.14997864,TRUE,NGC3448,32774,625533,138326,0,NGC 3448,TRUE,TRUE,TRUE,FALSE,VFID1098,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1097-NGC3448
VFID1098,174.200124,54.2935902,1287.1,57.16382217,TRUE,NGC3756,35931,661926,160192,0,NGC 3756,TRUE,TRUE,TRUE,FALSE,VFID1099,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1098-NGC3756
VFID1173,170.262,53.169556,1163.2,111.4605713,TRUE,NGC3631,34767,659355,159653,0,NGC 3631,TRUE,TRUE,TRUE,FALSE,VFID1174,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID1173-NGC3631
VFID1175,173.45586,53.1258465,1018.9,85.72771454,TRUE,NGC3729,35711,612690,139748,0,NGC 3729,TRUE,TRUE,TRUE,FALSE,VFID1176,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1175-NGC3729
VFID1182,173.1451995,53.0679,992.8,140.9682312,TRUE,NGC3718,35616,0,139673,0,NGC 3718,TRUE,FALSE,TRUE,FALSE,VFID1183,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1182-NGC3718
VFID1211,162.271035,52.3354995,2365.1,18.28610611,TRUE,PGC032356,32356,655583,158806,0,UGCA 219,TRUE,TRUE,TRUE,FALSE,VFID1212,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1211-UGCA219
VFID1212,178.4542245,52.3266874,1051,183.7051239,TRUE,NGC3953,37306,627439,140405,0,NGC 3953,TRUE,TRUE,TRUE,FALSE,VFID1213,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1212-NGC3953
VFID1274,140.511066,50.9766176,635.4,207.0719452,TRUE,NGC2841,26512,131988,26877,0,NGC 2841,TRUE,TRUE,TRUE,FALSE,VFID1276,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1274-NGC2841
VFID1291,211.5899235,50.7251039,1906.5,50.2482872,TRUE,NGC5480,50312,679584,43026,0,NGC 5480,TRUE,TRUE,TRUE,FALSE,VFID1293,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1291-NGC5480
