cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid,vr,70micronsflag,100micronsflag
19,5.880884,-126.491448,189.35,74.19,VFID0018,NGC4589,HPESL070A_J123723.8+741127,blue,189.34947,74.19089,6.60E-05,1.80E-05,209.874,205.238,20.351,7.496,12.235,5.982,0.48895,f,1342265561,2001.9,TRUE,TRUE
88,3.375699,-58.091415,107.93,72.17,VFID0087,UGC03701,HPESL160A_J071142.0+721011,red,107.925276,72.16969,0.000861,0.000264,209.644,8.238,6.317,27.945,30.398,null,0,t,1342265553,2915.1,TRUE,TRUE
133,30.230941,-31.790885,151.38,70.36,VFID0132,UGC05423,HPESL100A_J100527.6+702218,green,151.365297,70.37158,0.000809,0.000272,71.968,2.967,3.572,53.354,20.807,null,0,f,1342207175,353.2000122,TRUE,TRUE
188,0.068859,168.540601,170.05,67.24,VFID0187,NGC3622,HPESL160A_J112012.3+671430,red,170.051575,67.24161,5.80E-05,2.30E-05,1817.037,32.573,22.28,102.528,29.137,15.343,0.526569,t,1342243215,1302.2,TRUE,TRUE
241,37.794363,-107.457691,182.02,65.17,VFID0240,NGC4125,HPESL100A_J120800.2+651016,green,182.001023,65.171025,0.000489,0.000205,114.825,1.151,null,184.417,14.906,null,0,f,1342270916,1389,TRUE,TRUE
489,2.388158,-174.429322,178.31,60.68,VFID0488,NGC3945,HPESL160A_J115313.6+604030,red,178.306813,60.674926,0.000721,0.000353,92.647,5.718,3.579,36.042,25.674,17.455,0.679862,f,1342255706,1187,FALSE,TRUE
693,33.589518,106.920298,133.89,58.73,VFID0692,NGC2685,HPESL160A_J085538.8+584354,red,133.911798,58.731677,0.000496,0.000257,341.336,7.822,3.321,58.819,34.758,null,0,f,1342254557,877,FALSE,TRUE
697,1.404217,-23.009865,208.69,58.67,VFID0696,NGC5372,HPESL100A_J135445.9+584001,green,208.69135,58.666978,2.40E-05,1.20E-05,3829.754,177.219,27.26,78.477,14.661,9.589,0.654064,f,1342258522,1719.5,FALSE,TRUE
703,12.08717,60.970996,175.03,58.61,VFID0702,NGC3795,HPESL100A_J114008.1+583653,green,175.033745,58.61478,0.000282,0.000147,597.571,11.601,null,121.642,29.573,10.217,0.345479,f,1342255704,1207.7,FALSE,TRUE
712,20.077151,-84.527267,172.14,58.56,VFID0711,NGC3690,HPESL070A_J112831.0+583348,blue,172.129243,58.563438,1.00E-05,5.00E-06,55153.623,6.212,null,4480.896,14.558,null,0,t,1342210600,3129.7,TRUE,TRUE
713,1.528239,88.216311,172.13,58.56,VFID0712,IC0694,HPESL100A_J112830.9+583343,green,172.129078,58.561851,7.00E-06,4.00E-06,48901.167,21.251,null,7236.146,17.974,null,0,t,1342210604,2994.9,TRUE,TRUE
758,8.39811,-9.784753,174.11,58.19,VFID0757,UGC06575,HPESL160A_J113626.3+581135,red,174.109609,58.193153,0.00037,0.000195,404.975,8.293,3.729,81.426,32.09,12.219,0.380786,f,1342255702,1212.9,FALSE,TRUE
937,1.904167,-144.193389,228.97,56.33,VFID0936,NGC5907,HPESL160A_J151553.4+561943,red,228.972592,56.328722,3.80E-05,2.10E-05,15816.617,29.158,8.208,1347.966,53.255,13.998,0.262852,f,1342220804,667.4,FALSE,TRUE
949,12.417978,-17.52699,175.23,56.2,VFID0948,NGC3794,HPESL100A_J114053.6+561220,green,175.223349,56.205494,0.000581,0.000323,347.635,8.012,null,89.726,14.235,null,0,f,1342255868,1383,FALSE,TRUE
957,2.676348,-46.871872,177.31,56.08,VFID0956,NGC3898,HPESL100A_J114915.0+560506,green,177.312795,56.08487,0.000129,7.20E-05,375.095,15.507,15.798,82.507,16.109,7.8,0.484195,f,1342255866,1173,FALSE,TRUE
961,19.133453,-136.087112,161.34,55.96,VFID0960,NGC3353,HPESL070A_J104520.8+555724,blue,161.336727,55.956536,0.000164,9.20E-05,2016.332,6.092,3.198,281.895,18.696,null,0,f,1342195618,941.9,TRUE,TRUE
977,2.243006,171.600133,226.62,55.76,VFID0976,NGC5866,HPESL160A_J150629.5+554545,red,226.623145,55.762603,1.60E-05,9.00E-06,11527.164,38.53,31.85,811.862,30.984,10.949,0.353385,t,1342202963,674.4,TRUE,TRUE
986,32.246746,-17.088438,150.49,55.68,VFID0985,NGC3079,HPESL100A_J100156.9+554119,green,150.487079,55.688525,1.00E-06,1.00E-06,29032.763,3.646,null,17318.393,22.102,9.254,0.418713,t,1342231542,1163.9,TRUE,TRUE
1036,10.272252,-155.593027,179.12,55.13,VFID1035,NGC3982,HPESL160A_J115627.6+550722,red,179.115127,55.122662,0.000136,7.80E-05,7213.311,24.74,11.697,619.253,43.147,null,0,f,1342257149,1112.2,TRUE,TRUE
