vfid_01,ra_01,dec_01,vr_01,radius_01,radius_flag_01,objname_01,pgc_01,nsaidv1_01,nsaidv0_01,agc_01,nedname_01,hlflag_01,nsav1flag_01,nsav0flag_01,a100flag_01,vfid_v1_01,coflag_01,haflag_01,haobsflag_01,z0mgsflag_01,steerflag_01,unwiseflag_01,prefix_01
VFID0956,177.313767,56.0843617,1173,104.0210571,TRUE,NGC3898,36921,627359,140303,0,NGC 3898,TRUE,TRUE,TRUE,FALSE,VFID0957,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID0956-NGC3898
VFID1018,178.9378935,55.3207262,854,107.6765823,TRUE,NGC3972,37466,200396,41674,0,NGC 3972,TRUE,TRUE,TRUE,FALSE,VFID1019,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1018-NGC3972
VFID1035,179.1171885,55.1252607,1112.2,56.50947189,TRUE,NGC3982,37520,200397,41675,0,NGC 3982,TRUE,TRUE,TRUE,FALSE,VFID1036,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1035-NGC3982
VFID1212,178.4542245,52.3266874,1051,183.7051239,TRUE,NGC3953,37306,627439,140405,0,NGC 3953,TRUE,TRUE,TRUE,FALSE,VFID1213,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1212-NGC3953
VFID1374,181.535652,49.5827722,1115,136.8110809,TRUE,NGC4100,38370,665481,161045,0,NGC 4100,TRUE,TRUE,TRUE,FALSE,VFID1376,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1374-NGC4100
VFID1550,202.469547,47.195151,460.7999878,411.2646179,TRUE,NGC5194,47404,0,0,0,MESSIER 051a,TRUE,FALSE,FALSE,FALSE,VFID1552,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,VFID1550-MESSIER051a
VFID1754,180.790416,44.5312149,704.3,177.060318,TRUE,NGC4051,38068,627684,140667,0,NGC 4051,TRUE,TRUE,TRUE,FALSE,VFID1756,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,VFID1754-NGC4051
VFID1803,183.320361,43.6985004,919.9,128.5645599,TRUE,NGC4183,38988,298117,60664,0,NGC 4183,TRUE,TRUE,TRUE,FALSE,VFID1805,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID1803-NGC4183
VFID1804,182.3740425,43.6852719,875.5,85.5305481,TRUE,NGC4138,38643,665798,161123,0,NGC 4138,TRUE,TRUE,TRUE,FALSE,VFID1806,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1804-NGC4138
VFID1934,139.3790535,41.9941715,1870,52.85927963,TRUE,NGC2799,26238,229868,47220,0,NGC 2799,TRUE,TRUE,TRUE,FALSE,VFID1936,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1934-NGC2799
VFID1939,139.34034,41.910946,1673.9,27.10948372,TRUE,UGC04904,26231,229871,135806,0,UGC 04904,TRUE,TRUE,TRUE,FALSE,VFID1941,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1939-UGC04904
VFID1953,206.329785,41.7124718,2559.1,97.07809448,TRUE,NGC5290,48767,677259,163956,0,NGC 5290,TRUE,TRUE,TRUE,FALSE,VFID1955,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID1953-NGC5290
VFID2066,208.340064,40.3639366,2320,80.56033325,TRUE,NGC5350,49347,275977,56482,0,NGC 5350,TRUE,TRUE,TRUE,FALSE,VFID2068,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,VFID2066-NGC5350
VFID2313,159.067704,37.3246539,1568.8,92.28290558,TRUE,NGC3294,31428,653786,158541,0,NGC 3294,TRUE,TRUE,TRUE,FALSE,VFID2315,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2313-NGC3294
VFID2463,203.9799645,35.5882516,2230,54.96943283,TRUE,NGC5240,47971,422721,87805,8587,NGC 5240,TRUE,TRUE,TRUE,TRUE,VFID2465,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2463-NGC5240
VFID2544,162.1034055,34.7114023,1628.1,60.55099106,TRUE,NGC3381,32302,431962,90176,5909,NGC 3381,TRUE,TRUE,TRUE,TRUE,VFID2546,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2544-NGC3381
VFID2620,208.324161,33.4908244,2371.2,48.6543045,TRUE,NGC5347,49342,448022,94340,8805,NGC 5347,TRUE,TRUE,TRUE,TRUE,VFID2622,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2620-NGC5347
VFID2667,162.4587915,32.9828333,1619,47.98674011,TRUE,NGC3395,32424,625359,138144,5931,NGC 3395,TRUE,TRUE,TRUE,TRUE,VFID2669,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2667-NGC3395
VFID2670,163.0475205,32.950424,1583.5,119.7074738,TRUE,NGC3430,32614,432253,90222,5982,NGC 3430,TRUE,TRUE,TRUE,TRUE,VFID2672,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2670-NGC3430
VFID2677,162.943305,32.9003095,1530.1,74.66571808,TRUE,NGC3424,32584,625432,138221,5972,NGC 3424,TRUE,TRUE,TRUE,TRUE,VFID2679,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2677-NGC3424
VFID2760,174.935796,31.9312405,2669,59.8578682,TRUE,NGC3788,36160,426632,88792,6623,NGC 3788,TRUE,TRUE,TRUE,TRUE,VFID2762,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2760-NGC3788
VFID2764,174.926754,31.9071305,2700.9,58.7653389,TRUE,NGC3786,36158,627102,140004,0,NGC 3786,TRUE,TRUE,TRUE,FALSE,VFID2766,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,VFID2764-NGC3786
VFID2795,186.0464025,31.5219141,1251,41.41152954,TRUE,NGC4359,40330,428159,89276,7483,NGC 4359,TRUE,TRUE,TRUE,TRUE,VFID2797,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2795-NGC4359
VFID2881,188.46306,30.2775211,1174.9,59.99585724,TRUE,NGC4525,41755,668581,162019,7714,NGC 4525,TRUE,TRUE,TRUE,TRUE,VFID2883,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID2881-NGC4525
VFID3019,156.754755,28.6393464,1324.3,69.68210602,TRUE,NGC3245A,30714,497538,107715,5662,NGC 3245A,TRUE,TRUE,TRUE,TRUE,VFID3022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID3019-NGC3245A
VFID3084,166.012269,28.0367856,1371.7,47.65640259,TRUE,NGC3512,33432,657348,159215,6128,NGC 3512,TRUE,TRUE,TRUE,TRUE,VFID3087,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID3084-NGC3512
VFID3095,188.9903415,27.9596837,813.6,317.0452576,TRUE,NGC4559,42002,0,0,7766,NGC 4559,TRUE,FALSE,FALSE,TRUE,VFID3098,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,VFID3095-NGC4559
VFID3174,170.1325335,26.96335,1508.8,52.98113632,TRUE,NGC3629,34719,474093,101276,6352,NGC 3629,TRUE,TRUE,TRUE,TRUE,VFID3177,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID3174-NGC3629
VFID3221,158.925222,26.1258846,1396.4,17.42293167,TRUE,PGC031387,31387,497257,107609,201524,CGCG 124-041,TRUE,TRUE,TRUE,TRUE,VFID3224,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,VFID3221-CGCG124-041
VFID3234,189.086598,25.9875214,1226.2,502.4828491,TRUE,NGC4565,42038,0,141702,7772,NGC 4565,TRUE,FALSE,TRUE,TRUE,VFID3237,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID3234-NGC4565
VFID3300,155.2380735,25.3649211,1297.4,16.63877106,TRUE,UGC05588,30263,496587,107442,5588,UGC 05588,TRUE,TRUE,TRUE,TRUE,VFID3303,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID3300-UGC05588
VFID3546,154.4493525,21.8733281,1583.2,67.31645966,TRUE,NGC3187,30068,500751,108488,5556,NGC 3187,TRUE,TRUE,TRUE,TRUE,VFID3549,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,VFID3546-NGC3187
VFID3551,154.5260505,21.8326815,1317.1,109.1745071,TRUE,NGC3190,30083,624287,137020,5559,NGC 3190:[WLQ2016] X0001,TRUE,TRUE,TRUE,TRUE,VFID3554,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,VFID3551-NGC3190:WLQ2016X0001
VFID4179,233.634975,15.1937933,1969.8,44.16937637,TRUE,NGC5953,55480,685542,166278,0,NGC 5953,TRUE,TRUE,TRUE,FALSE,VFID4182,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4179-NGC5953
VFID5292,204.3834195,8.885176,1152.1,122.2140808,TRUE,NGC5248,48130,0,143701,8616,NGC 5248,TRUE,FALSE,TRUE,TRUE,VFID5308,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5292-NGC5248
